Town,Year,Substance,Gender,Measure Type,Variable,Value
Eastford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Easton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Ellington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Enfield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
Essex,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Fairfield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Farmington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,8
Franklin,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Glastonbury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Goshen,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Granby,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Greenwich,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,7
Griswold,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Groton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Guilford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Haddam,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Hamden,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Hampton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Hartford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,10
Hartland,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Harwinton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Hebron,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Kent,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Killingly,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Killingworth,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Lebanon,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Ledyard,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Lisbon,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Litchfield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Lyme,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Madison,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,15
Manchester,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
Mansfield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Marlborough,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Meriden,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,4
Middlebury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Middlefield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Middletown,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Milford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Monroe,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Montville,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Morris,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Naugatuck,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
New Britain,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,6
New Canaan,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
New Fairfield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
New Hartford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
New Haven,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,25
New London,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
New Milford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,7
Newington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,4
Newtown,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,8
Norfolk,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
North Branford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,4
North Canaan,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
North Haven,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
North Stonington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Norwalk,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,6
Norwich,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Old Lyme,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Old Saybrook,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Orange,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Oxford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Plainfield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Plainville,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
Plymouth,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Pomfret,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Portland,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Preston,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Prospect,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Putnam,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Redding,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Ridgefield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,12
Rocky Hill,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Roxbury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Salem,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Salisbury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Scotland,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Seymour,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Sharon,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Shelton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,15
Sherman,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Simsbury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Somers,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
South Windsor,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
Southbury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Southington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,7
Sprague,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Stafford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
Stamford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,7
Sterling,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Stonington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Stratford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Suffield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Thomaston,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Thompson,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Tolland,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Torrington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Trumbull,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Union,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Vernon,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Voluntown,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Wallingford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,15
Warren,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Washington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Waterbury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Waterford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
Watertown,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
West Hartford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
West Haven,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Westbrook,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Weston,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Westport,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Wethersfield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
Willington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Wilton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,4
Winchester,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Windham,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Windsor,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Windsor Locks,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Wolcott,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
Woodbridge,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Woodbury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Woodstock,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Andover,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Ansonia,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Ashford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Avon,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Barkhamsted,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Beacon Falls,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,7
Berlin,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Bethany,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Bethel,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,3
Bethlehem,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Bloomfield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Bolton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Bozrah,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Branford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Bridgeport,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,22
Bridgewater,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Bristol,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Brookfield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,7
Brooklyn,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Burlington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Canaan,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Canterbury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Canton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,4
Chaplin,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Cheshire,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Chester,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Clinton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Colchester,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Colebrook,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Columbia,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Cornwall,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Coventry,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,5
Cromwell,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Danbury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,11
Darien,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,7
Deep River,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Derby,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Durham,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
East Granby,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
East Haddam,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
East Hampton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
East Hartford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
East Haven,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
East Lyme,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
East Windsor,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Eastford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Easton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Ellington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Enfield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Essex,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Fairfield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Farmington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Franklin,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Glastonbury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Goshen,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Granby,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Greenwich,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,11
Griswold,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,6
Groton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Guilford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,4
Haddam,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Hamden,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Hampton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Hartford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,6
Hartland,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Harwinton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Hebron,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Kent,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Killingly,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Killingworth,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Lebanon,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Ledyard,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,3
Lisbon,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Litchfield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Lyme,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Madison,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,9
Manchester,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,5
Mansfield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Marlborough,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Meriden,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Middlebury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Middlefield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Middletown,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Milford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Monroe,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Montville,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,5
Morris,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Naugatuck,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,5
New Britain,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,3
New Canaan,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,5
New Fairfield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
New Hartford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
New Haven,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,7
New London,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
New Milford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Newington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Newtown,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Norfolk,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
North Branford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
North Canaan,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
North Haven,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
North Stonington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Norwalk,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,9
Norwich,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Old Lyme,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Old Saybrook,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,3
Orange,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Oxford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Plainfield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Plainville,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Plymouth,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Pomfret,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Portland,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Preston,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Prospect,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,7
Putnam,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Redding,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Ridgefield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Rocky Hill,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Roxbury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Salem,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Salisbury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Scotland,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Seymour,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Sharon,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Shelton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,7
Sherman,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Simsbury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Somers,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
South Windsor,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,5
Southbury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Southington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Sprague,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Stafford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Stamford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,7
Sterling,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Stonington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Stratford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,3
Suffield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Thomaston,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Thompson,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Tolland,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Torrington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Trumbull,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Union,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Vernon,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Voluntown,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Wallingford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Warren,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Washington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Waterbury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,4
Waterford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Watertown,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
West Hartford,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
West Haven,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,3
Westbrook,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Weston,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Westport,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Wethersfield,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Willington,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Wilton,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Winchester,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Windham,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,1
Windsor,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,2
Windsor Locks,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Wolcott,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,6
Woodbridge,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Woodbury,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Woodstock,2007,Alcohol,Female,Number,School suspensions and expulsions in past year,0
Andover,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Ansonia,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Ashford,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Avon,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,1
Barkhamsted,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Beacon Falls,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Berlin,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,6
Bethany,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Bethel,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,1
Bethlehem,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,6
Bloomfield,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,11
Bolton,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,2
Bozrah,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Branford,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,12
Bridgeport,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,49
Bridgewater,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Bristol,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,9
Brookfield,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,5
Brooklyn,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Burlington,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,6
Canaan,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Canterbury,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Canton,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,1
Chaplin,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Cheshire,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,8
Chester,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Clinton,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Colchester,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,8
Colebrook,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Columbia,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Cornwall,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Coventry,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Cromwell,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Danbury,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,9
Darien,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,4
Deep River,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
Derby,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,1
Durham,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,2
East Granby,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,0
East Haddam,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,4
East Hampton,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,1
East Hartford,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,26
East Haven,2007,Illegal Drug,Male,Number,School suspensions and expulsions in past year,6
